MSOA11CD,MSOA11NM,TCITY15CD,city,FID
E02002868,Nottingham 001,J01000067,Nottingham,2417
E02002869,Nottingham 002,J01000067,Nottingham,2418
E02002871,Nottingham 004,J01000067,Nottingham,2419
E02002872,Nottingham 005,J01000067,Nottingham,2420
E02002873,Nottingham 006,J01000067,Nottingham,2421
E02002874,Nottingham 007,J01000067,Nottingham,2422
E02002875,Nottingham 008,J01000067,Nottingham,2423
E02002876,Nottingham 009,J01000067,Nottingham,2429
E02002877,Nottingham 010,J01000067,Nottingham,2430
E02002878,Nottingham 011,J01000067,Nottingham,2431
E02002879,Nottingham 012,J01000067,Nottingham,2432
E02002880,Nottingham 013,J01000067,Nottingham,2433
E02002881,Nottingham 014,J01000067,Nottingham,2434
E02002882,Nottingham 015,J01000067,Nottingham,2435
E02002883,Nottingham 016,J01000067,Nottingham,2436
E02002884,Nottingham 017,J01000067,Nottingham,2437
E02002885,Nottingham 018,J01000067,Nottingham,2438
E02002886,Nottingham 019,J01000067,Nottingham,2439
E02002887,Nottingham 020,J01000067,Nottingham,2440
E02002888,Nottingham 021,J01000067,Nottingham,2441
E02002889,Nottingham 022,J01000067,Nottingham,2442
E02002890,Nottingham 023,J01000067,Nottingham,2443
E02002891,Nottingham 024,J01000067,Nottingham,2444
E02002892,Nottingham 025,J01000067,Nottingham,2445
E02002893,Nottingham 026,J01000067,Nottingham,2446
E02002894,Nottingham 027,J01000067,Nottingham,2447
E02002895,Nottingham 028,J01000067,Nottingham,2448
E02002896,Nottingham 029,J01000067,Nottingham,2449
E02002897,Nottingham 030,J01000067,Nottingham,2450
E02002898,Nottingham 031,J01000067,Nottingham,2451
E02002899,Nottingham 032,J01000067,Nottingham,2452
E02006904,Nottingham 039,J01000067,Nottingham,6492
E02006905,Nottingham 040,J01000067,Nottingham,6493
E02006834,Nottingham 038,J01000067,Nottingham,6694
E02006835,Gedling 016,J01000067,Nottingham,6699
